game_id,season,week,game_date,home_team,away_team,home_coach,away_coach,roof,surface,temp,wind,spread_line,total_line
2025_08_SF_HOU,2025,8,2025-10-26,HOU,SF,DeMeco Ryans,Kyle Shanahan,closed,astroturf,,,2.5,41.5
2025_08_TB_NO,2025,8,2025-10-26,NO,TB,Kellen Moore,Todd Bowles,dome,sportturf,,,-4.5,46.5
2025_08_TEN_IND,2025,8,2025-10-26,IND,TEN,Shane Steichen,Brian Callahan,closed,fieldturf,,,15.5,47.5
2025_08_WAS_KC,2025,8,2025-10-27,KC,WAS,Andy Reid,Dan Quinn,outdoors,grass,54.0,8.0,10.5,48.5
2025_09_ARI_DAL,2025,9,2025-11-03,DAL,ARI,Brian Schottenheimer,Jonathan Gannon,closed,matrixturf,,,3.5,53.5
2025_09_ATL_NE,2025,9,2025-11-02,NE,ATL,Mike Vrabel,Raheem Morris,outdoors,fieldturf,52.0,7.0,5.5,45.5
2025_09_BAL_MIA,2025,9,2025-10-30,MIA,BAL,Mike McDaniel,John Harbaugh,outdoors,grass,73.0,5.0,-7.5,51.5
2025_09_CAR_GB,2025,9,2025-11-02,GB,CAR,Matt LaFleur,Dave Canales,outdoors,grass,47.0,15.0,12.5,43.5
2025_09_CHI_CIN,2025,9,2025-11-02,CIN,CHI,Zac Taylor,Ben Johnson,outdoors,fieldturf,50.0,6.0,-3.0,51.5
2025_09_DEN_HOU,2025,9,2025-11-02,HOU,DEN,DeMeco Ryans,Sean Payton,closed,astroturf,,,1.5,40.5
2025_09_IND_PIT,2025,9,2025-11-02,PIT,IND,Mike Tomlin,Shane Steichen,outdoors,grass,56.0,2.0,-3.5,51.5
2025_09_JAX_LV,2025,9,2025-11-02,LV,JAX,Pete Carroll,Liam Coen,dome,grass,,,-2.5,43.5
2025_09_KC_BUF,2025,9,2025-11-02,BUF,KC,Sean McDermott,Andy Reid,outdoors,a_turf,54.0,6.0,-2.5,53.5
2025_09_LAC_TEN,2025,9,2025-11-02,TEN,LAC,Brian Callahan,Jim Harbaugh,outdoors,grass,46.0,5.0,-10.0,44.5
2025_09_MIN_DET,2025,9,2025-11-02,DET,MIN,Dan Campbell,Kevin O'Connell,dome,fieldturf,,,9.5,47.5
2025_09_NO_LA,2025,9,2025-11-02,LA,NO,Sean McVay,Kellen Moore,dome,matrixturf,,,14.0,44.5
2025_09_SEA_WAS,2025,9,2025-11-02,WAS,SEA,Dan Quinn,Mike Macdonald,outdoors,grass,53.0,3.0,-2.5,47.5
2025_09_SF_NYG,2025,9,2025-11-02,NYG,SF,Brian Daboll,Kyle Shanahan,outdoors,fieldturf,56.0,5.0,-2.5,47.5
2025_10_ARI_SEA,2025,10,2025-11-09,SEA,ARI,Mike Macdonald,Jonathan Gannon,outdoors,fieldturf,59.0,5.0,7.0,44.5
2025_10_ATL_IND,2025,10,2025-11-09,IND,ATL,Shane Steichen,Raheem Morris,closed,grass,46.0,2.0,6.5,48.5
2025_10_BAL_MIN,2025,10,2025-11-09,MIN,BAL,Kevin O'Connell,John Harbaugh,dome,sportturf,,,-4.5,48.5
2025_10_BUF_MIA,2025,10,2025-11-09,MIA,BUF,Mike McDaniel,Sean McDermott,outdoors,grass,84.0,6.0,-8.5,50.5
2025_10_CLE_NYJ,2025,10,2025-11-09,NYJ,CLE,Aaron Glenn,Kevin Stefanski,outdoors,fieldturf,62.0,12.0,-1.5,37.5
2025_10_DET_WAS,2025,10,2025-11-09,WAS,DET,Dan Quinn,Dan Campbell,outdoors,grass,64.0,9.0,-8.5,49.5
2025_10_JAX_HOU,2025,10,2025-11-09,HOU,JAX,DeMeco Ryans,Liam Coen,closed,astroturf,,,-1.5,37.5
